"data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year"
"2024-01-21,202404,268.0,216,494,202,0.9836543,136.0634,0,4,522185820240419768,2024-02-15,0.0,1.2134755,196967.0,22.8571428571429,83.437763,0,1,2,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,978"
"2024-01-14,202403,213.0,201,252,199,0.9802868,108.139946,0,4,522185820240319768,2024-02-15,0.0,1.2338294,196967.0,22.625,75.302707875,0,1,2,72.773421875,70.24414175,23.1875,23.75,,,,,,978"
"2024-01-07,202402,251.0,246,264,246,1.0,127.43251,0,4,522185820240219768,2024-02-15,0.0,2.5866497,196967.0,21.7142857142857,87.0944164285714,0,1,2,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,978"
"2023-12-31,202401,213.0,211,221,211,1.0,108.139946,0,1,522185820240119768,2024-02-15,0.0,4.5031586,196967.0,21.375,91.4545975,1,1,2,90.47780375,89.50101125,21.4375,21.5,,,,,,978"
"2024-02-04,202406,44.0,18,136,12,0.9977839,400.32755,0,4,520530720240619768,2024-02-15,0.0,2.057987,10991.0,22.3,82.4472402,0,1,2,81.7351194,81.0229992,22.3,22.3,,,,,,90"
"2024-01-28,202405,30.0,27,40,27,0.9772644,272.9506,0,4,520530720240519768,2024-02-15,0.0,1.8103586,10991.0,22.4285714285714,80.6155614285714,0,1,2,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,90"
"2024-01-21,202404,16.0,16,20,16,0.803614,145.57365,0,4,520530720240419768,2024-02-15,0.0,1.3806368,10991.0,22.8571428571429,83.437763,0,0,2,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,90"
"2024-01-14,202403,19.0,19,19,19,0.9978723,172.86871,0,4,520530720240319768,2024-02-15,0.0,3.4499886,10991.0,22.625,75.302707875,0,1,2,72.773421875,70.24414175,23.1875,23.75,,,,,,90"
"2024-01-07,202402,14.0,14,14,14,0.9996026,127.376945,0,1,520530720240219768,2024-02-15,0.0,7.443926,10991.0,21.7142857142857,87.0944164285714,1,1,2,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,90"
"2023-12-31,202401,2.0,2,2,2,0.8178776,18.196707,0,1,520530720240119768,2024-02-15,0.0,2.6706016,10991.0,21.375,91.4545975,1,0,0,90.47780375,89.50101125,21.4375,21.5,,,,,,90"
"2024-02-04,202406,0.0,0,0,0,0.0,0.0,0,1,520080320240619768,2024-02-15,0.0,0.0,8412.0,22.3,82.4472402,0,0,0,81.7351194,81.0229992,22.3,22.3,,,,,,18"
"2024-01-28,202405,4.0,4,4,4,0.38037267,47.551117,0,1,520080320240519768,2024-02-15,0.0,0.8224093,8412.0,22.4285714285714,80.6155614285714,0,0,0,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,18"
"2024-01-21,202404,6.0,6,6,6,0.9153715,71.326675,0,1,520080320240419768,2024-02-15,0.0,2.593246,8412.0,22.8571428571429,83.437763,0,0,1,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,18"
"2024-01-14,202403,8.0,8,8,8,0.998231,95.102234,0,1,520080320240319768,2024-02-15,0.0,11.871224,8412.0,22.625,75.302707875,0,1,1,72.773421875,70.24414175,23.1875,23.75,,,,,,18"
"2024-01-07,202402,0.0,0,0,0,0.0,0.0,0,1,520080320240219768,2024-02-15,0.0,0.0,8412.0,21.7142857142857,87.0944164285714,0,0,0,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,18"
"2023-12-31,202401,0.0,0,0,0,0.0,0.0,0,1,520080320240119768,2024-02-15,0.0,0.0,8412.0,21.375,91.4545975,0,0,0,90.47780375,89.50101125,21.4375,21.5,,,,,,18"
"2024-02-04,202406,5.0,5,5,5,0.740855,87.48907,0,1,522068620240619768,2024-02-15,0.0,1.5405586,5715.0,22.3,82.4472402,0,0,1,81.7351194,81.0229992,22.3,22.3,,,,,,16"
"2024-01-28,202405,8.0,8,8,8,0.9928513,139.9825,0,1,522068620240519768,2024-02-15,0.0,6.0845227,5715.0,22.4285714285714,80.6155614285714,0,1,1,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,16"
